420 Insertion 2118: Time = 1100 ns, Operations = 55
421 Insertion 3041: Time = 1000 ns, Operations = 55
422 Insertion 915: Time = 1100 ns, Operations = 59
423 Insertion 7066: Time = 1200 ns, Operations = 59
424 Insertion 3642: Time = 2600 ns, Operations = 55
425 Insertion 4402: Time = 1700 ns, Operations = 55
426 Insertion 2415: Time = 1300 ns, Operations = 55
427 Insertion 9600: Time = 1300 ns, Operations = 55
428 Insertion 8823: Time = 1300 ns, Operations = 55
429 Insertion 4622: Time = 1100 ns, Operations = 55
430 Insertion 3235: Time = 1100 ns, Operations = 55
431 Insertion 9742: Time = 1300 ns, Operations = 59
432 Insertion 7597: Time = 1300 ns, Operations = 59
433 Insertion 6969: Time = 1400 ns, Operations = 55
434 Insertion 212: Time = 2000 ns, Operations = 55
435 Insertion 7777: Time = 1300 ns, Operations = 55
436 Insertion 9406: Time = 1400 ns, Operations = 59
437 Insertion 962: Time = 1300 ns, Operations = 59
438 Insertion 5624: Time = 1400 ns, Operations = 55
439 Insertion 9216: Time = 1100 ns, Operations = 55
440 Insertion 17: Time = 1200 ns, Operations = 55
441 Insertion 5009: Time = 1200 ns, Operations = 59
442 Insertion 4957: Time = 22800 ns, Operations = 59
443 Insertion 4024: Time = 1600 ns, Operations = 55
444 Insertion 5539: Time = 1300 ns, Operations = 55
445 Insertion 5903: Time = 1200 ns, Operations = 55
446 Insertion 4934: Time = 1300 ns, Operations = 59
447 Insertion 6868: Time = 1400 ns, Operations = 59
448 Insertion 2428: Time = 1200 ns, Operations = 55
449 Insertion 2469: Time = 1100 ns, Operations = 55
450 Insertion 9043: Time = 1100 ns, Operations = 55
451 Insertion 8395: Time = 1100 ns, Operations = 59
452 Insertion 8713: Time = 1100 ns, Operations = 59
453 Insertion 5661: Time = 1100 ns, Operations = 55
454 Insertion 4285: Time = 1000 ns, Operations = 55
455 Insertion 3572: Time = 1100 ns, Operations = 55
456 Insertion 7195: Time = 1100 ns, Operations = 59
457 Insertion 9541: Time = 1000 ns, Operations = 59
458 Insertion 4971: Time = 1000 ns, Operations = 55
459 Insertion 1652: Time = 900 ns, Operations = 55
460 Insertion 4140: Time = 800 ns, Operations = 55
461 Insertion 1250: Time = 1000 ns, Operations = 59
462 Insertion 499: Time = 1000 ns, Operations = 59
463 Insertion 7080: Time = 1000 ns, Operations = 55
464 Insertion 3529: Time = 900 ns, Operations = 55
465 Insertion 9168: Time = 1000 ns, Operations = 55
466 Insertion 2608: Time = 1100 ns, Operations = 55
467 Insertion 1022: Time = 900 ns, Operations = 55
468 Insertion 4192: Time = 1100 ns, Operations = 55
469 Insertion 1512: Time = 1100 ns, Operations = 55
470 Insertion 7468: Time = 1200 ns, Operations = 59
471 Insertion 1278: Time = 1100 ns, Operations = 59
472 Insertion 135: Time = 1000 ns, Operations = 55
473 Insertion 5674: Time = 1000 ns, Operations = 55
474 Insertion 9227: Time = 1000 ns, Operations = 55
475 Insertion 4358: Time = 1100 ns, Operations = 59
476 Insertion 3014: Time = 1000 ns, Operations = 59
477 Insertion 3594: Time = 1800 ns, Operations = 55
478 Insertion 2277: Time = 1100 ns, Operations = 55
479 Insertion 4498: Time = 1000 ns, Operations = 55
